"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60"
"1",NA,-0.000514646236373636,-0.00209292752249006,0.000311158872420239,-0.00205257722713717,0.00323219139628876,-0.000879054896806619,-0.00166980922901482,0.00107487661658408,0.00346074971090878,0.00191577142215874,0.00165898271261572,-0.00097123415976156,-0.00163040148913923,-0.00260034910198549,3.88653116700291e-05,9.75380445753654e-06,-0.000352518743990705,0.00187012792944965,-0.000810534925039234,-0.00389377744199407,3.36489827038461e-05,0.0028854527747738,-0.00188208706883099,0.00115890867174068,0.00120695596097892,-0.00217314939076655,0.00148416038092936,0.00234707095461893,-0.00103673063000133,0.00107643629833104,-0.000314728294432243,0.00144661907398582,-0.000530144501150794,-0.00111788802703951,-0.000920914363377127,-0.00161841031952365,0.00313158018480174,-0.0017573108289042,-0.000248862300060788,0.00259243032120009,3.50552499947029e-05,-0.000359736424448143,-0.000300696523203824,0.000782440012401978,0.00116344690640951,-0.000490778687694624,0.000365695266962184,-0.00156419361646891,0.000513709071091273,0.00129059439333254,0.00059192817250558,0.00147276664294202,-0.00244849338295858,0.000605987669010256,-0.00174670343082628,-0.00175462857431317,0.000961810567504738,0.000704708151733058,-0.0011634404357454
"2",-0.0705970289331183,NA,0.000358714264141136,0.00148819097673027,7.66996786369795e-05,-0.00271035564725439,-0.000136685552525079,-0.000412007659242444,0.00190900432183459,-0.000286059107707057,-0.000619190111706705,-0.000812516448617844,0.000584285191214867,-0.00142400395197636,-0.000363170534690684,-0.000593454212276676,0.000269735517963589,0.000325351153255181,-0.00146261695823528,0.000131533300023745,0.000260064384924499,0.00153041678322707,-0.00079967145441355,5.27016597806629e-06,-0.000976899923411843,-0.000682199918491097,0.00165883772154147,0.00122139438932379,0.000545817516940612,-0.00124302617644449,0.000988357339445453,0.00361167415550966,-0.000348559555483602,-0.000207641275574662,-0.000577720618862911,0.00173878682982926,0.00152655903032202,-0.00253806679111377,0.000826842715431314,-0.0015939324038687,-0.000367985927473762,0.00156370304389876,-0.00151496702438523,-0.000968353120784332,0.00381236088606655,-0.00168137039026834,0.0017368302672533,0.000847386299020857,-0.00038992981119412,-0.0010327122215259,-0.000786002511425181,-0.00121797567441712,3.71902822266495e-05,-0.00173954620686505,-0.00179559782251707,-0.000102446837176183,-0.00185647544014912,0.00175655927586261,0.00165763646974088,-3.73830933731601e-05
"3",-0.0721548793057846,-0.0697115820431894,NA,-0.00222640780710412,0.00233505469208042,-0.00146868686989458,0.00218182877632644,0.000639946394727933,-0.00279572934037139,4.9654990440573e-05,-0.00191077832233773,0.000977820279897207,0.000240270583306938,0.00356182179184162,-0.000129967776220895,0.000470536435637291,0.000676462946905314,-0.00324914930318929,-0.000799383387157022,0.00230027991918207,0.00158567866654237,0.000240444908276606,-0.000254126070099017,-0.00108954125177427,4.06709470052793e-05,-0.000743576445053157,0.00067941243012952,-0.00185098083711103,-5.63145742350779e-07,0.00181826271643353,-0.000517546737054305,0.00073714870194584,0.000236635077190239,0.00143314881500741,0.00119339849864254,0.00151890607990604,-0.00181074243602586,0.000824343003631163,-0.000797726489860812,-0.00094234645983371,-0.000749319942691886,0.00132368570370722,-0.00174337975092675,0.000654961267850458,-0.000869918331660408,-0.000413807741358621,0.0017692518494124,-0.000516129710836337,0.000108700995332724,0.000569457886019612,-0.00207596014514654,0.00113226697436328,-0.000936360364380152,-0.00127477735226752,0.0012292593382283,-0.00162403462950421,0.000438004032582094,0.00239098038129368,-0.000358158675269496,-0.0023950357157387
"4",-0.069834305150207,-0.0686658422348983,-0.0723599405244324,NA,-0.000278811751974209,0.00308133244079498,0.00167324964952548,0.00201516730378987,0.00243166705321803,-0.0018219945873942,-0.000481162151388784,-0.00206339988435533,0.000165116201170247,-0.00158392367075813,0.000192818243846142,-0.00116536593979624,-0.00111737753188352,0.000677657546404718,-0.00127960771274661,0.000208215994830341,-0.00117291825705562,-0.00134662493232422,-0.000352801831466645,-0.00116721093866533,0.000245656476516642,-0.000134491275263701,0.0035215724057468,-0.00108792796431303,-0.00055392333252207,-0.000355894469803823,0.00167644456564428,0.000242018743662514,-0.00121656589770979,0.00152024155696754,0.00171573912580295,0.00158046642101145,2.91996164471682e-05,0.00140150395738615,0.00148474031434697,0.000815621958977553,-9.20378389119639e-05,-0.000562465685361424,-0.000174434647456102,0.00108114204684886,-0.00280136490374016,-0.000683541798100257,-0.000621227764976725,7.22191784092874e-05,0.00207474989551308,0.000692467962783602,-0.00286176996151347,-6.65900340414399e-05,0.00156375101722153,0.00201732657230936,-0.000627880401052827,-0.00136700400938056,0.000889083572221162,0.00148893284874974,-0.00388620660241911,-0.000449124205612413
"5",-0.0720366527381792,-0.0699155708136108,-0.0676368936315493,-0.0703344999455059,NA,0.000480579738463868,0.00186325721976083,-0.000399183546662796,-0.00159857737097689,0.000246623479264324,0.0012254772563166,-0.00102856166901788,0.000468495362995813,0.00219929701533767,-0.00215330236556431,-0.00011970626912404,0.0010802195229806,0.000492329311573857,0.0031349961947319,-0.000913430809382727,-0.00149110093047396,-0.00247916002740203,-0.00110048762608564,-0.000315876648507817,0.000124400804822893,-0.000910028040677253,0.00103129841034184,0.000652419011942316,-0.00143930105981808,-0.00072307984910306,0.00107454610371281,-0.00392162418591003,0.000494000443672805,-0.00196775541592522,-0.000823875630306965,-0.00106117273640452,-0.000889359950686329,-0.000946134037729918,-0.000619310279583838,0.0011707479146655,0.00116461246905695,0.00222554780103468,-0.000127626700064812,7.44474770960988e-05,0.00159879534753,0.000359970458920529,0.00416925270909426,0.000401122876888373,-0.00099272169961013,8.95228343350124e-05,-0.00160839158773559,0.00113831664531257,0.00179851696028504,-0.000401595554548174,0.00124186604178543,1.19144113370894e-05,9.0036250399295e-05,-0.000813384888844505,-0.00174526067019065,5.0313875346002e-05
"6",-0.0669474263934991,-0.072898268308014,-0.0716360997419765,-0.0671701790268862,-0.0696085436319589,NA,-0.000511507540823145,-0.00244896532244114,-0.00217466712244742,0.00191509931415304,0.000213010816941965,0.00111449648653047,0.00160532982592557,0.000434618236272673,-0.00086745342820839,0.000859682712865864,0.00139820872181536,-0.000793055148760158,-0.000641763921497,-0.00142447752653966,-0.000674344917307633,-8.2619607208477e-05,0.00109480746358904,-0.000821895193751476,-0.000292087982283661,-0.000315772500448681,0.000531300335945943,0.000601716623002645,-0.000859311238384626,-0.00194775473152965,-0.000809684572299895,0.00197955158063069,0.000944243046569659,-0.000566777559533712,0.000990254830480552,0.000476900217022841,0.000291257192474944,-0.00218108250671519,0.00106223838223233,-0.00123804887578801,0.000734519139742188,-0.00265096230767763,-0.000841928591688841,-0.00177216022060647,0.00139841091634108,-0.000268725880758778,-0.00173381669090711,-0.000645208695282137,7.15186476664704e-05,0.00134896394554401,0.00292243914311152,-6.37210481283408e-05,-0.000700563544774309,-0.000655927755617954,-7.91545637121877e-05,0.00136952785538299,-0.000678282467163002,0.00221854107093524,-5.8641733941189e-05,-0.000404401616613873
"7",-0.0710208771100314,-0.07028675387074,-0.0679478138172441,-0.0685403911833727,-0.0681881798735803,-0.0707586449506001,NA,0.00142675388969586,-0.00323220576077765,-0.000718389776590375,-0.000388625436597019,-0.000505015792173519,0.00036091639933896,-0.00157775487143844,0.00290755380973273,-0.000755348625335654,-0.00300034917275558,-0.000812230684896949,0.000346827481923606,5.01085402709461e-05,0.00149426357386055,-0.00121948385471762,-0.00250493678457283,0.00220779671573481,0.00103489378289127,0.000571452967123846,-0.000829158008437927,-0.00107047450840168,0.00209762485574349,-0.00133447775139097,0.00133648473446338,0.000329461758270953,0.00149941101016424,0.000521657171719371,0.000280047675776714,-0.00252813139672716,-0.00155296260527304,-0.00160141853232889,-0.000465593690616845,0.00424659439050219,0.00144440871612449,-0.000327286877703573,-0.00240544621842727,0.000913157617200493,-0.00111113007037189,-0.00115690355609298,-2.80805416909106e-05,-0.00119258035138325,0.00096714928479198,-0.000852781429608969,0.00165515212178797,0.00186871352945959,-0.00142440582653201,0.000155791735263398,-0.000300473647604407,0.000759544572629802,-0.000878077341619489,-0.000100160204823067,0.00128410289850958,0.000252776848259586
"8",-0.0717862031506303,-0.0705371080371608,-0.0694646555850261,-0.0681724900394623,-0.0704261773702264,-0.0726717019628301,-0.0687581358136984,NA,-4.71269555045728e-05,0.00036656442324004,0.00181449485305069,0.000622602629577078,0.000399281843340787,-0.000457345147474392,-0.00216588638961857,-0.000576557500767488,4.20278802170243e-05,0.000372554555059447,0.000293482236378977,0.000228034706239305,0.00172970774597754,-0.00057735871333893,-0.00216385498979708,0.00422076623123266,-0.000221751949301248,0.00308573151599447,-0.00253480601503699,0.00112231023098022,-0.000503637026544781,-0.00123058899895223,0.000690245106251257,-0.00213734929480055,-0.000458704895326813,-0.00202108768499797,-0.00120258214103606,-0.000199560622192205,0.000916759330920038,-0.000902343182109657,-0.00207362256033228,-0.0007483102357644,-0.00122257654363167,-0.000860891183611401,0.000329780285965876,0.00104356599004762,0.000376020657419672,0.000807716410250027,-0.000296622420957649,0.000283231202960645,0.000577287070871318,8.15352378373702e-05,0.00177873847970973,-0.00170174044704398,0.00209856022221213,-0.000340516780055445,0.000201862125548444,0.00093859003216146,0.00258266832102839,-6.58891101095339e-05,-0.00202602797610181,0.00155827078347421
"9",-0.0691830271659165,-0.0683575375200468,-0.0730416489840831,-0.0678978949049499,-0.0717664575558676,-0.0725388473454924,-0.0735583696964517,-0.0703473559087622,NA,2.48069609699725e-05,0.00123757350550407,0.000735224641944802,0.00181937191526877,0.000572223623743054,0.00147339125997742,0.00091022349924879,0.000480142370289427,-0.000325741401793131,0.000548451258217175,0.00104577681238698,-0.00252790739099548,-3.11359996954946e-05,0.0023591676523806,-0.000499179418028212,0.00206382674800392,-0.000645327212669237,-0.00039419528373856,-0.000360640655617556,-0.000560964180163895,0.000873245265405553,0.00211877917875134,-0.000789726878186682,-0.0035616627074437,5.29459024933791e-05,-0.00111011014385765,0.00126214383813443,0.000944143102637525,-0.00180479933434275,0.00156544791115545,-0.000676618318935274,0.00174062573376007,-0.000225979155549305,0.00324636561148229,-0.00027878945042633,-0.00222811851557938,-0.000659046229755418,-0.00187519621934898,-0.000958574075504343,0.00105011049754383,0.00195818046055524,0.000451913481795707,-0.000730318009942072,0.000616722504585301,-0.000815512664705165,-0.00300509340956949,0.000112114579259928,-0.00068630175341871,-0.000492108755294851,0.00118650700706908,-0.00135881091344904
"10",-0.06653457870335,-0.0702894900964014,-0.069933503597109,-0.0718889964011334,-0.0696584922417468,-0.0681851097722934,-0.0707809509606381,-0.0696718550342703,-0.0701543359660696,NA,-0.000598385695788781,-0.000901321741159859,-0.00212745144941989,-0.000577340311780535,0.000799432195377661,-0.00149812429726338,0.000415387874953176,0.00374767373053219,-0.000610453548091368,-0.00245240721632962,0.00103793925234705,0.00152275547110359,0.000219502654122149,0.00029160636152277,-0.000933797323067587,-0.00182284919031885,0.00101910355514205,-0.00336565798015726,-0.000271651741724561,-0.00225643262743166,-0.002173817594931,0.000458255864559413,0.00263786812795831,-0.00161541437596777,0.000739045550039829,0.00291874031433164,0.00121327280141969,0.0028186426578784,-0.000860972027111441,-0.002853692827153,-0.000875513575519992,-0.00118609263145018,0.00328988358745725,-0.000248318070794257,0.000931679679037971,0.000364704445460167,-0.00290501713632034,-0.00109506143670712,0.00178575973032292,-0.000512109363455119,2.00221483184475e-05,-1.61347192619687e-05,-0.00159328156447808,0.00238581842871327,-0.0001578048279318,-0.00188617146243732,0.00128232049822054,-0.00212705828767425,0.00063770161974085,0.00327704293668318
